Plot,Stand,Nmin,pH,copies/dry soil
7,6,0.3089703558,5.09,29511374.51
8,6,0.5360223631,4.63,23153531.15
9,6,0.6167027667,5.13,19254462.24
11,6,0.3275413743,5.07,28807634.55
12,6,0.4042144833,5.05,21583617.65
13,7,0.0148018842,4.11,26712195.61
14,7,0.1966798637,4.22,34377254.61
15,7,0.0675163553,4.26,27355504.47
16,7,0.2921699696,4.31,28029283.63
17,7,0.1826349660,4.31,22637459.01
18,7,0.1403743511,4.35,32558541.19
20,9,0.6987879832,4.72,26719061.8
21,9,0.0992100817,4.15,17101125.45
22,9,0.0003610000,4.11,23255302.78
24,9,0.0214974690,4.48,19825313.74
31,22,1.2175470910,6.34,29090601.14
34,22,0.7699104638,5.8,13203165
35,22,0.9019284544,5.69,23034293.44
36,22,0.7232763881,5.63,11553105.8
37,24,0.8966727801,4.79,19174357.84
38,24,1.0443418100,4.75,21237745.2
39,24,0.5003676952,4.96,25776432.51
40,24,0.5419320535,5.29,28194090.39
41,24,0.4340429722,5.65,11712126.47
42,24,0.6486813872,5.28,29051776.3
50,41,0.4918580752,4.06,24401109.94
52,41,0.3340582023,4.24,36333602.2
53,41,0.1957805063,3.87,27991708.46
54,41,0.6763255160,4.29,26129304.5
62,58,0.0072383968,4.37,17667344.19
64,58,0.0394356993,4.44,19297625.27
65,58,0.0402879705,4.61,14712669.86
66,58,0.0509747801,4.31,16746471.25
67,100,0.5668104925,4.4,29029796.52
68,100,0.7921448859,4.23,22134985.44
69,100,1.0537631940,4.44,19077512.2
70,100,0.8278092433,4.74,22719472.61
71,100,0.7500667958,5.18,21372192.87
72,100,0.6038682681,5.38,18225412.6
