PLOT,STAND,N.MIN,N.INORG,SPEC.TOTAL.C,SPEC.TOTAL.N,SOIL.CN,LON,LAT,SOIL.PH,AMM.CORRECTED.PRE,AMM.CORRECTED.POST,AMM.TURNOVER,NIT.CORRECTED.PRE,NIT.CORRECTED.POST,NIT.TURNOVER
Plot_1,Stand_3,0.3528986673,1.06251747,24.313,1.0154,23.94425842,-86.17791409,44.26424384,4.03,1.006595498,10.42292369,0.3492469438,0.05592197208,0.1543790313,0.003651723509
Plot_10,Stand_6,0.3549480295,1.9907932,18.935,1.351,14.01554404,-85.66856313,44.21936329,5.23,0,0.2255327312,0.008308189636,1.9907932,11.40062052,0.3466398399
Plot_11,Stand_6,0.3590820135,1.330047941,20.164,1.36395,14.78353312,-85.6687205,44.21937784,5.07,0.01197937139,0.8679572732,0.03154063917,1.31806857,10.20717753,0.3275413743
Plot_12,Stand_6,0.4097822803,1.85531698,24.0835,1.63205,14.75659447,-85.66872587,44.21952117,5.05,0.1710764771,0.322180299,0.005567796915,1.684240503,12.65417245,0.4042144833
Plot_13,Stand_7,0.3797233592,2.05776394,17.233,0.9475,18.1878628,-85.67723552,44.19285312,4.11,1.982671248,11.88496752,0.364921475,0.07509269281,0.4767479876,0.01480188418
Plot_14,Stand_7,0.5149519536,1.980468122,17.8625,1.0419,17.14415971,-85.67702541,44.19288331,4.22,1.980468122,10.61580878,0.3182720899,0,5.336307134,0.1966798637
Plot_15,Stand_7,0.3021142664,2.021780603,15.795,0.9793,16.12886756,-85.67711727,44.19274531,4.26,2.021780603,8.386878094,0.2345979111,0,1.831850001,0.06751635531
Plot_16,Stand_7,0.4349438961,2.48068272,18.3585,1.12905,16.2601302,-85.67722191,44.1926754,4.31,2.456111029,6.329845271,0.1427739265,0.02457169169,7.951711075,0.2921699696
Plot_17,Stand_7,0.37541114,1.710273336,20.7195,1.285,16.12412451,-85.67740859,44.19270036,4.31,1.69256923,6.922961672,0.192776174,0.01770410604,4.972945857,0.182634966
Plot_18,Stand_7,0.4538252575,2.536466839,16.2745,1.01585,16.0205739,-85.67729468,44.19281193,4.35,2.46621629,10.9696605,0.3134509064,0.07025054897,3.878392235,0.1403743511
Plot_19,Stand_9,0.05007254451,1.657442923,24.6825,1.0999,22.44067643,-85.97708594,44.32053685,3.98,1.577857981,3.044545851,0.05098444256,0.07958494203,0.05335204158,-0.000911898048
Plot_2,Stand_3,0.3222083173,0.1191615932,21.5545,0.845,25.50828402,-86.17777063,44.2642837,3.97,0.1191615932,8.805360815,0.3222083173,0,0,0
Plot_20,Stand_9,0.6068465795,3.899295616,26.3455,1.2465,21.13557962,-85.97697971,44.32056037,4.72,3.623962385,0.9790508226,-0.09194140373,0.2753332311,20.37761948,0.6987879832
Plot_21,Stand_9,0.4208839238,9.511621851,20.8615,0.88825,23.48606811,-85.97699035,44.32045636,4.15,9.511621851,18.76532942,0.3216738421,0,2.854012246,0.09921008171
Plot_22,Stand_9,0.2715984486,1.605472489,19.7675,0.86295,22.90688916,-85.97707418,44.32035796,4.11,1.605472489,9.407328171,0.2712378605,0,0.0103719164,0.0003605881123
Plot_23,Stand_9,0.3965470533,3.611748924,25.304,1.13735,22.24820855,-85.97715191,44.32046344,4.35,3.605625257,14.41837817,0.3759595363,0.006123667442,0.598229234,0.02058751698
Plot_24,Stand_9,0.4144679654,3.801002384,20.008,1.01555,19.70163951,-85.97722868,44.32053422,4.48,3.727218706,15.02921392,0.3929704964,0.07378367785,0.6920598429,0.02149746898
Plot_25,Stand_20,0.3130478549,1.610640539,38.2925,1.4389,26.61234276,-86.0915281,44.19487053,3.78,1.369984521,9.974946845,0.3189484105,0.2406560183,0.08146394584,-0.00590055558
Plot_26,Stand_20,0.1966236514,0,19.5475,0.7728,25.29438406,-86.0913923,44.19488511,4,0,5.27669957,0.1955842312,0,0.02804269036,0.001039420183
Plot_27,Stand_20,0.0787075232,0.9267884397,17.7925,0.6887,25.83490635,-86.09139569,44.19476621,4.1,0.9267884397,3.041458792,0.07609959534,0,0.07246960637,0.002607927856
Plot_28,Stand_20,0.3402573482,1.210368824,16.6045,0.652,25.46702454,-86.09155285,44.19465619,4.17,1.210368824,10.64422954,0.3394916764,0,0.02127663872,0.0007656718671
Plot_29,Stand_20,0.1687302424,0.006265150799,24.5765,0.9852,24.94569631,-86.09171367,44.19473559,4.12,0,4.694388067,0.1689557315,0.006265150799,0,-0.0002254890565
Plot_3,Stand_3,0.1680898885,0.4213501712,18.4805,0.6833,27.04595346,-86.17775937,44.26413928,3.87,0.4213501712,4.930687235,0.1672490759,0,0.02266982637,0.0008408126199
Plot_30,Stand_20,0.1725161327,0.4725522653,19.1105,0.7261,26.3193775,-86.09156837,44.19482342,4.05,0.3754679518,5.203645732,0.1737492441,0.09708431342,0.06281837472,-0.001233111376
Plot_31,Stand_22,1.191337835,11.29184572,67.208,5.22205,12.87004146,-85.70713711,44.37104864,6.34,2.346144479,1.592173356,-0.02620925569,8.945701238,43.97131807,1.217547091
Plot_32,Stand_22,0.8428716571,5.654916196,43.8115,3.4539,12.68464634,-85.70704161,44.37097671,5.9,2.641797206,0.5910086198,-0.07128012463,3.01311899,29.31402754,0.9141517817
Plot_33,Stand_22,0.6936548505,5.862609029,46.7355,4.00695,11.66360948,-85.70698909,44.37092073,6.22,0.8569208226,0.5666751888,-0.01008819002,5.005688207,25.25296194,0.7037430406
Plot_34,Stand_22,0.73414856,4.346923266,32.4145,2.5156,12.88539513,-85.70706103,44.37082902,5.8,1.558121042,0.529345444,-0.03576190371,2.788802224,24.93709456,0.7699104638
Plot_35,Stand_22,0.8262951754,7.483555211,47.8,3.83845,12.45294325,-85.70720175,44.37088223,5.69,2.907604691,0.7315722283,-0.07563327893,4.57595052,30.52518376,0.9019284544
Plot_36,Stand_22,0.6795316104,6.224669283,40.92,3.4608,11.82385576,-85.70719124,44.37096111,5.63,2.050174569,0.7916008592,-0.04374477776,4.174494714,24.98375913,0.7232763881
Plot_37,Stand_24,0.7372831484,6.879143678,25.455,1.75695,14.48817553,-85.75349378,44.22255347,4.79,5.942950357,1.620613468,-0.1593896318,0.9361933209,25.25221559,0.8966727801
Plot_38,Stand_24,0.9343798801,7.200396908,23.5935,1.63635,14.41837015,-85.75342036,44.22252941,4.75,5.156658144,2.17546805,-0.1099619297,2.043738764,30.35700561,1.04434181
Plot_39,Stand_24,0.469516312,3.789752639,19.299,1.34615,14.33644096,-85.75342161,44.22245404,4.96,1.602107702,0.7660137925,-0.0308513832,2.187644937,15.74795696,0.5003676952
Plot_4,Stand_3,0.2283147491,0,16.933,0.6838,24.76308862,-86.17792349,44.26410428,4.03,0,6.158156149,0.2283147491,0,0,0
Plot_40,Stand_24,0.5267437267,3.62030266,27.431,1.642,16.70584653,-85.75347498,44.22238541,5.29,0.8255615721,0.4140528418,-0.01518832684,2.794741088,17.47771266,0.5419320535
Plot_41,Stand_24,0.4332782616,3.865200786,23.8185,1.6466,14.46526175,-85.75352849,44.22248554,5.65,0.2037309726,0.1830174057,-0.0007647105833,3.661469814,15.4183074,0.4340429722
Plot_42,Stand_24,0.6045006531,4.711187159,23.346,1.70635,13.6818355,-85.75353481,44.22252313,5.28,1.70704482,0.5104832728,-0.04418073406,3.004142339,20.57259658,0.6486813872
