"","STAND","PLOT","TEST","pre","post","GRAV","GRAV.CORR","PRE.INCUB.EXTRACT.DRY.MASS","POST.INCUB.EXTRACT.DRY.MASS","TIME.INTERVAL","CORRECTED.PRE","CORRECTED.POST","TURNOVER"
"1","Stand_100","Plot_67","Ammonium",0.76075,0.23975,0.111171233818251,0.111171233818251,26.9439552180335,26.7119709100601,28.7604166666667,1.69407199613551,0.538522599041256,-0.0401784650927377
"2","Stand_20","Plot_25","Ammonium",0.5465,3.9795,0.202446617767323,0.202446617767323,23.9345770008026,23.9369696609493,26.9791666666667,1.36998452067485,9.97494684506904,0.318948410479476
"3","Stand_22","Plot_31","Ammonium",0.858,0.5825,0.271283494750536,0.271283494750536,21.9423826895666,21.9511272876296,28.7673611111111,2.34614447885271,1.59217335593037,-0.026209255691205
"4","Stand_24","Plot_37","Ammonium",2.4535,0.6625,0.182571859729024,0.182571859729024,24.7705249346314,24.5277487769709,27.1180555555556,5.94295035686496,1.6206134676869,-0.159389631764825
"5","Stand_3","Plot_1","Ammonium",0.432,4.456,0.146441101441773,0.146441101441773,25.7501648517046,25.6511520194718,26.9618055555556,1.0065954975152,10.4229236876787,0.349246943820616
"6","Stand_31","Plot_43","Ammonium",0.432,3.4685,0.174262693699816,0.174262693699816,24.8043229439512,24.8522157077166,27.7673611111111,1.04497913765152,8.37390124275243,0.263940173348639
"7","Stand_41","Plot_49","Ammonium",0.989,1.661,0.0937643009569864,0.101128208341084,27.3846303536818,27.4335670814301,28.7638888888889,2.16690892787683,3.63277585099242,0.0509620562357907
"8","Stand_50","Plot_55","Ammonium",1.20675,5.23375,0.130993300962555,0.130993300962555,26.1458045539396,26.0962711720945,27.0173611111111,2.76927794861414,12.0333283605589,0.342892496933568
"9","Stand_58","Plot_61","Ammonium",0.39475,3.091,0.125379895027541,0.125379895027541,26.2840833946323,26.3286890199859,27.1354166666667,0.901115692124036,7.04402713933909,0.226379846039403
"10","Stand_6","Plot_7","Ammonium",0.3085,0.228,0.190402906286516,0.190402906286516,24.5275535511437,24.2887224084982,27.1388888888889,0.754661485557612,0.563224354493573,-0.00705397821730339
"11","Stand_7","Plot_13","Ammonium",0.8845,5.285,0.111795903431257,0.111795903431257,26.7669186541956,26.6807628568285,27.1354166666667,1.98267124750579,11.8849675214157,0.364921474969424
"12","Stand_9","Plot_19","Ammonium",0.684,1.3125,0.142745939807238,0.142745939807238,26.0099454403086,25.8659267581962,28.7673611111111,1.57785798106284,3.04454585123443,0.0509844425599781
"13","Stand_100","Plot_68","Ammonium",0.531,0.1755,0.131465808242139,0.131465808242138,26.7239285461976,26.0664481630369,28.7569444444444,1.19218998602408,0.403967580628491,-0.0274098107647828
"14","Stand_20","Plot_26","Ammonium",0,2.258,0.144931562851385,0.144931562851385,25.7418353003591,25.6751399622615,26.9791666666667,0,5.27669957005628,0.195584231168109
"15","Stand_22","Plot_32","Ammonium",0.995,0.2225,0.2500497002022,0.2500497002022,22.5982523838071,22.5885030299097,28.7708333333333,2.64179720564491,0.591008619841832,-0.0712801246332713
"16","Stand_24","Plot_38","Ammonium",2.138,0.896,0.176735733356911,0.176735733356911,24.8765763451542,24.7119234918256,27.1111111111111,5.1566581437959,2.17546804957466,-0.109961929704882
"17","Stand_3","Plot_2","Ammonium",0.0525,3.8445,0.12765429575026,0.12765429575026,26.4346918758799,26.1965414986197,26.9583333333333,0.11916159321207,8.80536081498216,0.322208317345413
"18","Stand_31","Plot_44","Ammonium",0.404,3.9815,0.13759126351747,0.13759126351747,25.9464292458134,25.9395299759215,27.7708333333333,0.934232597879003,9.20949609425269,0.297983981864919
"19","Stand_41","Plot_50","Ammonium",0.3535,0.182,0.101695326687139,0.101695326687139,27.144970618168,26.9563266367723,28.7604166666667,0.781360212112524,0.405099706170778,-0.0130825818799013
"20","Stand_50","Plot_56","Ammonium",0.364,2.4365,0.164495612869345,0.164495612869345,25.0450795086285,25.1110843552118,26.9930555555556,0.872027577012711,5.82173186677453,0.183369544050862
"21","Stand_58","Plot_62","Ammonium",0.406,3.737,0.109468114307881,0.109468114307881,26.9706486900715,26.8815955015023,27.1354166666667,0.903204082331451,8.34102276360305,0.274100035854923
"22","Stand_6","Plot_8","Ammonium",0.601,0.1155,0.160525275003733,0.160525275003733,25.2421655059128,25.3034471608375,27.1458333333333,1.42856206182284,0.27387572752244,-0.0425364113940284
"23","Stand_7","Plot_14","Ammonium",0.879,4.672,0.120916792221302,0.120916792221302,26.6300676132401,26.4059013952565,27.1319444444444,1.98046812219802,10.6158087847119,0.318272089941642
"24","Stand_9","Plot_20","Ammonium",1.413,0.381,0.221772976428884,0.221772976428884,23.3942825555713,23.3491453882042,28.7673611111111,3.62396238476695,0.979050822628767,-0.0919414037291244
"25","Stand_100","Plot_69","Ammonium",1.319,0.9875,0.130029331846422,0.130029331846422,26.2992132982827,26.3705508930712,28.7534722222222,3.009215488783,2.24682450663432,-0.0265147449412897
"26","Stand_20","Plot_27","Ammonium",0.41,1.343,0.117694636811999,0.117694636811999,26.5432745461478,26.4938654458093,27.7881944444444,0.926788439656559,3.0414587922181,0.0760995953439615
"27","Stand_22","Plot_33","Ammonium",0.322,0.213,0.24869738139609,0.24869738139609,22.5458402816847,22.5526020052522,28.7708333333333,0.856920822582724,0.566675188832922,-0.0100881900217165
"28","Stand_24","Plot_39","Ammonium",0.6675,0.3215,0.167444235929722,0.167444235929722,24.9983193719742,25.1823141958337,27.1006944444444,1.60210770188417,0.766013792457226,-0.0308513832049916
"29","Stand_3","Plot_3","Ammonium",0.186,2.175,0.118886117997862,0.118886117997862,26.4862832929843,26.4668987875802,26.9618055555556,0.421350171201864,4.93068723492599,0.16724907589859
"30","Stand_31","Plot_45","Ammonium",1.2195,5.9815,0.146408257040915,0.146408257040915,25.7511557015897,25.6162882062022,27.7673611111111,2.84142587027591,14.0102265055367,0.402227658241228
"31","Stand_41","Plot_51","Ammonium",0.743,0.8445,0.0899133431486062,0.10064901378451,27.3426435184433,27.4463933973243,28.7604166666667,1.63042026166672,1.8461442006781,0.00750072370340198
"32","Stand_50","Plot_57","Ammonium",0.0945,1.596,0.228712169611868,0.228712169611868,23.1448052142871,23.2550993740326,26.9861111111111,0.244979378633956,4.11780652749774,0.143511865526605
"33","Stand_58","Plot_63","Ammonium",1.0245,4.598,0.116081526170114,0.116081526170114,26.676659540186,26.7093645237177,27.1354166666667,2.30426151772867,10.3289615803109,0.295727910175777
"34","Stand_6","Plot_9","Ammonium",0.634,0.1135,0.187922156333351,0.187922156333351,24.3785768668728,24.3923821902151,27.1527777777778,1.56038640843269,0.27918552386129,-0.0471848919126042
"35","Stand_7","Plot_15","Ammonium",0.9025,3.7245,0.114571670172869,0.114571670172869,26.7833215489409,26.6451947294879,27.1319444444444,2.0217806033151,8.38687809448392,0.234597911115513
"36","Stand_9","Plot_21","Ammonium",4.1745,8.255,0.123254584582063,0.123254584582063,26.3330485520777,26.394420731157,28.7673611111111,9.51162185056759,18.7653294249163,0.321673842053399
"37","Stand_100","Plot_70","Ammonium",1.7665,2.178,0.154371119625841,0.154371119625841,25.4576574436641,25.6056424977295,28.7569444444444,4.16338385550784,5.10356262341738,0.0326939730932076
