Feature ID	Taxon	Confidence
sq7	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9768711236763455
sq3	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9855100694677638
sq4	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9947447749866849
sq6	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9911021200873268
sq14	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	0.9981468038736043
sq13	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9945967172861948
sq12	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9996055937774905
sq15	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	0.9860975207413366
sq20	NS;NS-Delta;NS-Delta-1	0.9999999999999597
sq22	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9998768253101287
sq32	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU7	0.9900489093640171
sq31	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9549080176403435
sq18	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9990162241080577
sq38	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU3	0.9957650760915283
sq21	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9951058594198049
sq28	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9922630582609165
sq45	NS;NS-Delta;NS-Delta-2;NS-Delta-2.2;NS-Delta-2.2.1;NS-Delta-2.2.1_OTU4	0.9902239077768653
sq29	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU11	0.9893396452681645
sq36	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9988760053410904
sq37	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.7666164697184127
sq39	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9875131228494994
sq48	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9861502840667199
sq49	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU3	0.8841880742501327
sq58	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU6	0.995906775601537
sq47	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9989083555951888
sq64	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.981577970479675
sq8	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU6	0.9943684712385029
sq43	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9675165044768531
sq55	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9815200135123052
sq73	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.3;NS-Gamma-2.3.2.3_OTU3	0.7985127376562826
sq54	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU3	0.995911349182772
sq25	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9634327412792778
sq65	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9488788031423153
sq71	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9954764168229389
sq62	NT;NT-Alpha;NT-Alpha_OTU10	0.9999743647380852
sq80	NT;NT-Alpha;NT-Alpha_OTU10	0.9999461696206958
sq16	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9994377035135652
sq78	NS;NS-Alpha;NS-Alpha-3;NS-Alpha-3.2;NS-Alpha-3.2.3;NS-Alpha-3.2.3.1;NS-Alpha-3.2.3.1.7	0.9700471947689041
sq70	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9965506061295278
sq89	NT;NT-Alpha;NT-Alpha_OTU10	0.9981476929005577
sq23	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9278556234507492
sq79	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	0.9902178624252292
