"","STAND","PLOT","TEST","pre","post","GRAV","GRAV.CORR","PRE.INCUB.EXTRACT.DRY.MASS","POST.INCUB.EXTRACT.DRY.MASS","TIME.INTERVAL","CORRECTED.PRE","CORRECTED.POST","TURNOVER"
"1","Stand_100","Plot_67","Nitrate",0.524,7.777,0.111171233818251,0.111171233818251,26.9439552180335,26.7119709100601,28.7604166666667,1.16686654745318,17.4685724827689,0.566810492499207
"2","Stand_20","Plot_25","Nitrate",0.096,0.0325,0.202446617767323,0.202446617767323,23.9345770008026,23.9369696609493,26.9791666666667,0.240656018270423,0.0814639458386089,-0.00590055558048422
"3","Stand_22","Plot_31","Nitrate",3.2715,16.087,0.271283494750536,0.271283494750536,21.9423826895666,21.9511272876296,28.7673611111111,8.94570123842267,43.9713180718488,1.21754709089037
"4","Stand_24","Plot_37","Nitrate",0.3865,10.323,0.182571859729024,0.182571859729024,24.7705249346314,24.5277487769709,27.1180555555556,0.936193320940823,25.2522155878217,0.896672780135941
"5","Stand_3","Plot_1","Nitrate",0.024,0.066,0.146441101441773,0.146441101441773,25.7501648517046,25.6511520194718,26.9618055555556,0.0559219720841778,0.154379031280699,0.00365172350915621
"6","Stand_31","Plot_43","Nitrate",0.0615,0.037,0.174262693699816,0.174262693699816,24.8043229439512,24.8522157077166,27.7673611111111,0.148764391124001,0.0893280513137783,-0.00214051092476481
"7","Stand_41","Plot_49","Nitrate",0.499,7.294,0.0937643009569864,0.101128208341084,27.3846303536818,27.4335670814301,28.7638888888889,1.09331400911076,15.952719480517,0.516599321072549
"8","Stand_50","Plot_55","Nitrate",0.059,0.0716666666666667,0.130993300962555,0.130993300962555,26.1458045539396,26.0962711720945,27.0173611111111,0.135394571343057,0.164774498687694,0.00108744622481115
"9","Stand_58","Plot_61","Nitrate",0.0426666666666667,0.0416666666666667,0.125379895027541,0.125379895027541,26.2840833946323,26.3286890199859,27.1354166666667,0.0973973473437843,0.0949534554531851,-9.00628105556699e-05
"10","Stand_6","Plot_7","Nitrate",0.0405,3.4345,0.190402906286516,0.190402906286516,24.5275535511437,24.2887224084982,27.1388888888889,0.0990722533714207,8.48418441012358,0.308970355827101
"11","Stand_7","Plot_13","Nitrate",0.0335,0.212,0.111795903431257,0.111795903431257,26.7669186541956,26.6807628568285,27.1354166666667,0.0750926928111293,0.476747987614025,0.0148018841846749
"12","Stand_9","Plot_19","Nitrate",0.0345,0.023,0.142745939807238,0.142745939807238,26.0099454403086,25.8659267581962,28.7673611111111,0.0795849420272925,0.0533520415835367,-0.000911898048014683
"13","Stand_100","Plot_68","Nitrate",0.600353723404255,10.482,0.131465808242139,0.131465808242138,26.7239285461976,26.0664481630369,28.7569444444444,1.34790150115786,24.1275679780504,0.792144885938788
"14","Stand_20","Plot_26","Nitrate",0,0.012,0.144931562851385,0.144931562851385,25.7418353003591,25.6751399622615,26.9791666666667,0,0.0280426903634524,0.00103942018335576
"15","Stand_22","Plot_32","Nitrate",1.13485372340426,11.036,0.2500497002022,0.2500497002022,22.5982523838071,22.5885030299097,28.7708333333333,3.01311899025636,29.3140275441549,0.914151781743033
"16","Stand_24","Plot_38","Nitrate",0.847353723404255,12.503,0.176735733356911,0.176735733356911,24.8765763451542,24.7119234918256,27.1111111111111,2.04373876448472,30.3570056069553,1.04434180976326
"17","Stand_3","Plot_2","Nitrate",0,0,0.12765429575026,0.12765429575026,26.4346918758799,26.1965414986197,26.9583333333333,0,0,0
"18","Stand_31","Plot_44","Nitrate",0,0,0.13759126351747,0.13759126351747,25.9464292458134,25.9395299759215,27.7708333333333,0,0,0
"19","Stand_41","Plot_50","Nitrate",0.615353723404255,6.9665,0.101695326687139,0.101695326687139,27.144970618168,26.9563266367723,28.7604166666667,1.36014969121183,15.5061928738392,0.491858075165601
"20","Stand_50","Plot_56","Nitrate",0,0,0.164495612869345,0.164495612869345,25.0450795086285,25.1110843552118,26.9930555555556,0,0,0
"21","Stand_58","Plot_62","Nitrate",0,0.088,0.109468114307881,0.109468114307881,26.9706486900715,26.8815955015023,27.1354166666667,0,0.196416912816984,0.00723839678711341
"22","Stand_6","Plot_8","Nitrate",0.302353723404255,6.4395,0.160525275003733,0.160525275003733,25.2421655059128,25.3034471608375,27.1458333333333,0.718687285368044,15.2694610162836,0.536022363072868
