Feature ID	Taxon	Confidence
sq2	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999481357839757
sq5	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2	0.9984840916321012
sq6	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.997073185584883
sq4	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9985612653324534
sq8	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU6	0.9999632963714903
sq7	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999066079979645
sq3	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2	0.9972670483930028
sq1	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9254926777635704
sq10	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999989849651207
sq13	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9978753881002044
sq14	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	0.9999992215664025
sq12	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9877388634966073
sq15	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9953436441617892
sq16	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9938713311473051
sq11	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9873268421837598
sq9	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9382755478656406
sq21	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU6	0.9921927099402187
sq22	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9877210569301575
sq23	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9945484301740043
sq20	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9999929854982837
sq19	NS;NS-Delta;NS-Delta-1;NS-Delta-1_OTU8	0.9385333609284608
sq24	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.8515356880175015
sq25	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	0.9999996642967655
sq18	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	0.9999999135683206
sq31	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9755903734374196
sq30	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9625091139779443
sq29	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.99987290492899
sq27	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9983709696243225
sq32	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU7	0.999992785637378
sq33	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9819002986998632
sq34	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9897429519902581
sq28	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU8	0.9999999971876434
sq36	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9999031508627371
sq39	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9987804211521286
sq41	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999992471749399
sq40	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.999050202950119
sq37	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9962258293740516
sq38	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9957129123152173
sq42	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.999987000993717
sq35	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9751548925685626
sq45	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9951114907732231
sq46	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU3	0.9995823908764999
sq47	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9969813891784514
sq49	NT;NT-Alpha;NT-Alpha_OTU7	0.9984399698556419
sq43	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9999999999942162
sq51	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9999999995430926
sq50	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9977216563681508
sq44	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.7838933147999425
sq54	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9962601118248339
sq56	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	0.9999994890956314
sq57	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9996495053981248
sq55	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.9338625386818151
sq53	NS;NS-Delta;NS-Delta-2;NS-Delta-2.2;NS-Delta-2.2.1;NS-Delta-2.2.1_OTU4	0.9999993964228483
sq61	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.2;NT-Alpha-1.1.1.2_OTU3	0.9981673009837994
sq59	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.99525638238756
sq17	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9987509779223768
sq66	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.Incertae_sedis;NT-Alpha-1.1.1.1.Incertae_sedis_OTU1	0.7992197556643051
sq62	NS;NS-Delta;NS-Delta-1;NS-Delta-1.2;NS-Delta-1.2.1	0.9997329321825591
sq26	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999960991803843
sq58	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9908841281410643
sq65	NS;NS-Delta;NS-Delta-1;NS-Delta-1_OTU3	0.7721528433693429
sq67	NS;NS-Delta;NS-Delta-2;NS-Delta-2.2;NS-Delta-2.2.1;NS-Delta-2.2.1_OTU2	0.99999932226689
sq68	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.2;NT-Alpha-1.1.1.2_OTU3	0.9985661215861944
sq72	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999979794604974
sq60	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.2;NT-Alpha-1.1.1.2_OTU3	0.9912546946064485
sq70	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU9	0.9999799649866398
sq71	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3_OTU2	1.0
sq75	NS;NS-Delta;NS-Delta-2;NS-Delta-2.1;NS-Delta-2.1_OTU2	0.952886458787143
sq73	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.3;NS-Gamma-2.3.2.3_OTU3	0.9993061033794239
sq76	NS;NS-Alpha;NS-Alpha-3;NS-Alpha-3.2;NS-Alpha-3.2.3;NS-Alpha-3.2.3.1;NS-Alpha-3.2.3.1.7;NS-Alpha-3.2.3.1.7_OTU5	0.789811711351187
sq74	NS;NS-Delta;NS-Delta-1;NS-Delta-1.1;NS-Delta-1.1.2;NS-Delta-1.1.2.1;NS-Delta-1.1.2.1_OTU13	0.9978221448548624
sq82	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2.2;NS-Gamma-2.3.2.2_OTU3	0.9280453319774731
sq78	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	0.9999987716908704
sq69	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9979136361298346
sq83	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9975777404687347
sq77	NT;NT-Alpha;NT-Alpha_OTU7	0.9998910179992584
