Plot,STAND,AOA,AOB,CAOB,pH
1,3,50576.77,33717848.47,1813773.66,4.03
2,3,22804.66,23988365.62,3658355.42,3.97
3,3,30173.93,21763361.57,0,3.87
4,3,63699.79,14110939.6,0,4.03
5,3,34179,21229252.3,758150.54,3.94
6,3,31271.13,24354119.17,966020.74,3.79
7,6,205330.07,29511374.51,4254237673,5.09
8,6,693669.81,23153531.15,707087622.4,4.63
9,6,190189.74,19254462.24,2344823043,5.13
10,6,399226.64,18051779.76,1638465508,5.23
11,6,188905.68,28807634.55,1946451674,5.07
12,6,208318.65,21583617.65,3342103586,5.05
13,7,216768.79,26712195.61,6609383.23,4.11
14,7,195902.44,34377254.61,9056470.12,4.22
15,7,148116.4,27355504.47,19703946.59,4.26
16,7,491183.02,28029283.63,42344863.3,4.31
17,7,372881.06,22637459.01,2080751.74,4.31
18,7,309642.38,32558541.19,3989535.8,4.35
19,9,2232126.11,51195127.04,315713.6,3.98
20,9,126182.17,26719061.8,17645334.16,4.72
21,9,8455.51,17101125.45,0,4.15
22,9,25203.7,23255302.78,366024.54,4.11
23,9,39676.15,32504517.43,1069548.93,4.35
24,9,35390.34,19825313.74,349421.03,4.48
25,20,56203.79,20908076.85,0,3.78
26,20,30269.33,20529356.35,0,4
27,20,184119.07,29851249.45,697701.89,4.1
28,20,78392.16,21620508.45,1107056.93,4.17
29,20,199456.69,26506972.21,0,4.12
30,20,19293.34,14343254.71,0,4.05
31,22,4089135.02,29090601.14,945473478.3,6.34
32,22,1591225.44,21563866.53,1220549303,5.9
33,22,4683515.78,19395635.99,84055923.53,6.22
34,22,905547.91,13203165,223480362.9,5.8
35,22,1474066.45,23034293.44,1496434706,5.69
36,22,1163032.54,11553105.8,547518584.3,5.63
37,24,139860.21,19174357.84,506589565.1,4.79
38,24,605689.88,21237745.2,151131365.3,4.75
39,24,451532.43,25776432.51,1267536156,4.96
40,24,546955.32,28194090.39,1062021096,5.29
41,24,762394.66,11712126.47,181014890.8,5.65
42,24,317922.65,29051776.3,389174274.5,5.28
43,31,93698.71,25369093.79,0,3.88
44,31,12578.87,25503846.81,0,4.01
45,31,355881.3,35544653.73,0,3.93
46,31,53759.8,29672960.72,802946.77,3.9
47,31,38621.06,30685402,1196062.16,3.9
48,31,68090.52,26308815.51,3556281.07,4.26
49,41,2513816.71,12344425.88,0,3.94
50,41,7026850.86,24401109.94,0,4.06
51,41,1473799.9,24225949.86,1126223.9,4.3
52,41,761130.17,36333602.2,0,4.24
53,41,443574.77,27991708.46,0,3.87
54,41,1945042.69,26129304.5,0,4.29
55,50,31998.02,30266955.26,1169295.32,4.4
56,50,43750.29,22215973.81,0,4.05
57,50,89265.56,21891884.52,0,3.67
58,50,74016.96,26137143.78,0,3.94
59,50,1097838.18,29605610.89,0,3.93
60,50,66615.18,17122229.92,0,4.13
61,58,29992.81,49406116.45,0,4.2
62,58,18685.46,17667344.19,0,4.37
63,58,123899.6,43535144.5,0,4.46
64,58,50352.07,19297625.27,294070.48,4.44
65,58,45292.67,14712669.86,0,4.61
66,58,18343.35,16746471.25,2348552.59,4.31
67,100,1398852.07,29029796.52,0,4.4
68,100,2820672.43,22134985.44,0,4.23
69,100,317296.39,19077512.2,0,4.44
70,100,598593.11,22719472.61,882206.24,4.74
71,100,417722.87,21372192.87,1532685.78,5.18
72,100,345103,18225412.6,194877475.2,5.38
