Feature ID	Taxon	Confidence
sq4	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9999938859197537
sq6	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9999199569146615
sq3	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9999961722722547
sq12	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9999921983628258
sq7	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	0.9999012698916796
sq11	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.9998437278234297
sq14	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	0.9999997674359791
sq19	NS;NS-Delta;NS-Delta-1;NS-Delta-1_OTU8	0.9706320961835172
sq2	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	0.9999999989787227
sq32	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	0.995449117840772
sq28	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	0.9999670002250994
sq24	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	0.9999999888632659
