Feature ID	Taxon	Consensus
sq4	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	1.0
sq6	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	1.0
sq3	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	1.0
sq12	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	1.0
sq7	NT;NT-Alpha;NT-Alpha-1;NT-Alpha-1.1;NT-Alpha-1.1.1;NT-Alpha-1.1.1.1;NT-Alpha-1.1.1.1.3;NT-Alpha-1.1.1.1.3.2;NT-Alpha-1.1.1.1.3.2.Incertae_sedis;NT-Alpha-1.1.1.1.3.2.Incertae_sedis_OTU1	1.0
sq11	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	1.0
sq14	NS;NS-Beta;NS-Beta-1;NS-Beta-1_OTU10	1.0
sq19	NS;NS-Delta;NS-Delta-1;NS-Delta-1_OTU8	1.0
sq2	NS;NS-Gamma;NS-Gamma-2;NS-Gamma-2.3;NS-Gamma-2.3.2;NS-Gamma-2.3.2_OTU2	1.0
sq32	NT;NT-Alpha;NT-Alpha-Incertae_sedis;NT-Alpha-Incertae_sedis_OTU2	1.0
sq28	NS;NS-Delta;NS-Delta-1;NS-Delta-1.Incertae_sedis.3;NS-Delta-1.Incertae_sedis.3_OTU2	1.0
sq24	NS;NS-Beta;NS-Beta-2;NS-Beta-2_OTU1	1.0
