PLOT	STAND	N.MIN	N.INORG	SPEC.TOTAL.C	SPEC.TOTAL.N	SOIL.CN	LON	LAT
1	Plot_67	Stand_100	0.52663202740647	2.8609385435887	17.4225	1.12145	15.5356904008204	-85.4841108395657	44.3469688282198
2	Plot_68	Stand_100	0.764735075174005	2.54009148718195	19.0705	1.2532	15.2174433450367	-85.4839584410225	44.3469585340645
3	Plot_69	Stand_100	1.02724844860375	3.59772916913409	20.309	1.45015	14.0047581284695	-85.4840245667925	44.3468704406433
4	Plot_70	Stand_100	0.860503216399495	4.35751722626281	25.705	1.87875	13.6819693945442	-85.4840333403463	44.3467729235152
5	Plot_71	Stand_100	0.66473425504664	3.48915430818146	27.6215	1.71265	16.1279304002569	-85.4842290405255	44.3467986642052
6	Plot_72	Stand_100	0.563584106063717	2.77005346004483	22.831	1.71405	13.3199148216213	-85.4842682558292	44.3469538897392
7	Plot_25	Stand_20	0.313047854898991	1.61064053894528	38.2925	1.4389	26.612342761832	-86.0915280978813	44.1948705327325
8	Plot_26	Stand_20	0.196623651351465	0	19.5475	0.7728	25.294384057971	-86.0913922967934	44.1948851087506
9	Plot_27	Stand_20	0.07870752320023	0.926788439656559	17.7925	0.6887	25.8349063452882	-86.0913956867324	44.1947662077807
10	Plot_28	Stand_20	0.340257348238666	1.21036882416906	16.6045	0.652	25.4670245398773	-86.0915528482132	44.1946561868248
11	Plot_29	Stand_20	0.168730242418825	0.00626515079915683	24.5765	0.9852	24.9456963053187	-86.0917136711593	44.1947355924774
12	Plot_30	Stand_20	0.172516132734832	0.472552265251151	19.1105	0.7261	26.3193774962126	-86.0915683729903	44.1948234215383
13	Plot_31	Stand_22	1.19133783519917	11.2918457172754	67.208	5.22205	12.8700414588141	-85.7071371133463	44.3710486413319
14	Plot_32	Stand_22	0.842871657109762	5.65491619590127	43.8115	3.4539	12.6846463418165	-85.7070416068541	44.3709767062389
15	Plot_33	Stand_22	0.693654850538283	5.86260902929779	46.7355	4.00695	11.6636094785311	-85.7069890931563	44.370920733433
16	Plot_34	Stand_22	0.734148560041353	4.34692326596824	32.4145	2.5156	12.8853951343616	-85.7070610334297	44.3708290211991
17	Plot_35	Stand_22	0.826295175438292	7.48355521056179	47.8	3.83845	12.4529432453204	-85.7072017454069	44.3708822314791
18	Plot_36	Stand_22	0.679531610388824	6.22466928329812	40.92	3.4608	11.8238557558946	-85.7071912365503	44.3709611121862
19	Plot_37	Stand_24	0.737283148371117	6.87914367780578	25.455	1.75695	14.4881755314608	-85.7534937836243	44.2225534718397
20	Plot_38	Stand_24	0.934379880058376	7.20039690828062	23.5935	1.63635	14.4183701530846	-85.7534203588949	44.2225294090411
21	Plot_39	Stand_24	0.469516312037146	3.78975263892026	19.299	1.34615	14.3364409612599	-85.7534216098086	44.2224540364351
22	Plot_40	Stand_24	0.526743726671015	3.62030266005162	27.431	1.642	16.7058465286236	-85.7534749824784	44.2223854129066
23	Plot_41	Stand_24	0.433278261580874	3.86520078623061	23.8185	1.6466	14.4652617514879	-85.7535284927773	44.222485541216
24	Plot_42	Stand_24	0.604500653132952	4.7111871589897	23.346	1.70635	13.6818354968207	-85.7535348068484	44.2225231298243
25	Plot_1	Stand_3	0.352898667329772	1.06251746959938	24.313	1.0154	23.944258420327	-86.177914085964	44.2642438441698
26	Plot_2	Stand_3	0.322208317345413	0.11916159321207	21.5545	0.845	25.5082840236686	-86.177770634912	44.2642837034263
27	Plot_3	Stand_3	0.168089888518529	0.421350171201864	18.4805	0.6833	27.0459534611444	-86.1777593743129	44.2641392803616
28	Plot_4	Stand_3	0.228314749105618	0	16.933	0.6838	24.7630886224042	-86.1779234866726	44.264104282102
29	Plot_5	Stand_3	0.27782282842787	0.300620719038765	26.824	1.0995	24.3965438835835	-86.1781106525184	44.2641449034796
30	Plot_6	Stand_3	0.397604224684143	0.0453411311912724	36.6095	1.1588	31.592595788747	-86.1780647564339	44.2642430919795
31	Plot_43	Stand_31	0.261799662423874	1.19374352877552	34.114	1.18595	28.76512500527	-85.9925256918149	44.2719960899606
32	Plot_44	Stand_31	0.297983981864919	0.934232597879003	21.4	0.8053	26.5739475971688	-85.9923896923918	44.2720055996841
33	Plot_45	Stand_31	0.405437967610352	2.84831669919897	25.604	0.96095	26.644466413445	-85.9924398227045	44.2719115025099
34	Plot_46	Stand_31	0.275550357237256	1.44799709327228	25.176	0.9852	25.5542021924482	-85.9925077773565	44.2718291959467
35	Plot_47	Stand_31	0.202959914579205	2.02950205057976	27.9405	1.02945	27.1411918985866	-85.9926488830397	44.2718794171358
36	Plot_48	Stand_31	0.25908267905165	0.709086487818922	21.226	0.8892	23.8708951866847	-85.9926787077295	44.2720037874619
37	Plot_49	Stand_41	0.56756137730834	3.26022293698759	11.467	0.7477	15.3363648522135	-85.4818292975965	44.3467847366412
38	Plot_50	Stand_41	0.4787754932857	2.14150990332435	17.291	1.02025	16.9478069100711	-85.4817337196863	44.3467869268529
39	Plot_51	Stand_41	0.723610522241656	2.37421984325408	12.239	0.79875	15.3226917057903	-85.481673811323	44.3467039386105
40	Plot_52	Stand_41	0.633862260347374	2.38564915480793	9.88995	0.62905	15.7220411731977	-85.4818062963284	44.3465913383101
41	Plot_53	Stand_41	0.381200910547436	2.12454194463222	11.3205	0.6984	16.2091924398625	-85.4819706578089	44.3466438502334
42	Plot_54	Stand_41	0.683130796332273	3.47876923079561	14.3345	0.9371	15.2966599082275	-85.4819545490126	44.3467693454099
43	Plot_55	Stand_50	0.343979943158379	2.90467251995719	20.7705	0.85005	24.4344450326451	-86.083687788124	44.2566457856588
44	Plot_56	Stand_50	0.183369544050862	0.872027577012711	29.71	1.1572	25.6740407881092	-86.083559797234	44.2566598861825
45	Plot_57	Stand_50	0.14623668419784	0.244979378633956	59.469	1.73855	34.2060912829657	-86.083546843983	44.2565999999185
46	Plot_58	Stand_50	0.245496738715861	0.35914738278165	22.909	0.9019	25.4008204900765	-86.083690369178	44.2564551962714
47	Plot_59	Stand_50	0.326733359927362	0.117048910521288	24.35	0.9615	25.32501300052	-86.083752549476	44.2565757374771
48	Plot_60	Stand_50	0.165171862351693	0.0932036804448809	23.466	0.84495	27.7720575181963	-86.0838058313131	44.2566593829379
49	Plot_61	Stand_58	0.226289783228847	0.99851303946782	18.792	0.8535	22.0175746924429	-85.8966348789338	44.3102484456309
50	Plot_62	Stand_58	0.281338432642036	0.903204082331451	14.7005	0.73105	20.1087476916764	-85.8965382547006	44.3101312575959
51	Plot_63	Stand_58	0.303344122238044	2.30426151772867	16.4565	0.7664	21.4724686847599	-85.8964924609571	44.3100695734169
52	Plot_64	Stand_58	0.333668137650063	2.51937124413534	16.9115	0.8013	21.1050792462249	-85.8965833333333	44.3100199051801
53	Plot_65	Stand_58	0.314205134617468	0.582522807649419	15.973	0.75175	21.2477552377785	-85.8966571417229	44.3100694019552
54	Plot_66	Stand_58	0.290673475311956	2.60086394925553	13.828	0.67145	20.5942363541589	-85.8967417404965	44.3101413987506
55	Plot_7	Stand_6	0.301916377609798	0.853733738929033	22.259	1.4864	14.9751076426265	-85.6685808891044	44.2194918040552
56	Plot_8	Stand_6	0.493485951678839	2.14724934719088	18.7675	1.1805	15.8979246082169	-85.6684613470306	44.219528093643
57	Plot_9	Stand_6	0.569517874834372	3.54522117022975	26.105	1.7736	14.718651330627	-85.6685084787153	44.2194415643411
58	Plot_10	Stand_6	0.354948029507609	1.99079320013816	18.935	1.351	14.0155440414508	-85.6685631305285	44.2193632877172
59	Plot_11	Stand_6	0.359082013456549	1.33004794113359	20.164	1.36395	14.7835331207156	-85.6687205048567	44.2193778438257
60	Plot_12	Stand_6	0.409782280256547	1.85531697977425	24.0835	1.63205	14.7565944670813	-85.6687258692043	44.2195211695689
61	Plot_13	Stand_7	0.379723359154099	2.05776394031692	17.233	0.9475	18.1878627968338	-85.6772355217969	44.1928531239492
62	Plot_14	Stand_7	0.514951953602285	1.98046812219802	17.8625	1.0419	17.1441597082254	-85.6770254070547	44.1928833110388
63	Plot_15	Stand_7	0.302114266423423	2.0217806033151	15.795	0.9793	16.1288675584601	-85.6771172680719	44.1927453077687
64	Plot_16	Stand_7	0.434943896093725	2.4806827203522	18.3585	1.12905	16.260130197954	-85.6772219051155	44.1926754038782
65	Plot_17	Stand_7	0.375411139986077	1.71027333562783	20.7195	1.285	16.1241245136187	-85.6774085870508	44.1927003641932
66	Plot_18	Stand_7	0.453825257512085	2.53646683870919	16.2745	1.01585	16.0205739036275	-85.6772946824047	44.192811933448
67	Plot_19	Stand_9	0.0500725445119634	1.65744292309013	24.6825	1.0999	22.4406764251296	-85.9770859363654	44.3205368471528
68	Plot_20	Stand_9	0.606846579479059	3.89929561582264	26.3455	1.2465	21.1355796229442	-85.9769797089893	44.320560369455
69	Plot_21	Stand_9	0.420883923758478	9.51162185056759	20.8615	0.88825	23.4860681114551	-85.9769903513854	44.3204563634144
70	Plot_22	Stand_9	0.271598448618544	1.60547248908025	19.7675	0.86295	22.9068891592792	-85.9770741813244	44.3203579637314
71	Plot_23	Stand_9	0.396547053304563	3.61174892400971	25.304	1.13735	22.2482085549743	-85.9771519075282	44.3204634430254
72	Plot_24	Stand_9	0.41446796535909	3.80100238382165	20.008	1.01555	19.7016395056866	-85.9772286760469	44.3205342247462
